scope,sentiment,keyword,category,source_filter,review_count,review_share_pct
Group 1 (Native AI),positive,ai,"strict_core,tech","soft,strict",1467,5.871
Group 1 (Native AI),positive,cheap,quality,soft,267,1.069
Group 1 (Native AI),positive,human,human,soft,258,1.033
Group 1 (Native AI),positive,trash,quality,soft,118,0.472
Group 1 (Native AI),positive,creativity,human,soft,112,0.448
Group 1 (Native AI),positive,ai generated,strict_core,strict,92,0.368
Group 1 (Native AI),positive,slop,quality,soft,82,0.328
Group 1 (Native AI),positive,passion,human,soft,80,0.32
Group 1 (Native AI),positive,uncanny,quality,soft,73,0.292
Group 1 (Native AI),positive,soul,human,soft,72,0.288
Group 1 (Native AI),positive,generic,quality,soft,65,0.26
Group 1 (Native AI),positive,artificial,quality,soft,61,0.244
Group 1 (Native AI),positive,talent,human,soft,58,0.232
Group 1 (Native AI),positive,ai-generated,strict_core,strict,57,0.228
Group 1 (Native AI),positive,garbage,quality,soft,56,0.224
Group 1 (Native AI),positive,chatgpt,"strict_core,tech","soft,strict",53,0.212
Group 1 (Native AI),positive,llm,"strict_core,tech","soft,strict",47,0.188
Group 1 (Native AI),positive,steal,ethics,soft,47,0.188
Group 1 (Native AI),positive,ethical,ethics,soft,39,0.156
Group 1 (Native AI),positive,lazy,quality,soft,39,0.156
Group 1 (Native AI),positive,artist,human,soft,36,0.144
Group 1 (Native AI),positive,prompt,tech,soft,33,0.132
Group 1 (Native AI),positive,bland,quality,soft,27,0.108
Group 1 (Native AI),positive,voice actor,human,soft,26,0.104
Group 1 (Native AI),positive,stolen,ethics,soft,24,0.096
Group 1 (Native AI),positive,ai slop,quality,soft,23,0.092
Group 1 (Native AI),positive,generative,"strict_core,tech","soft,strict",22,0.088
Group 1 (Native AI),positive,artificial intelligence,"strict_core,tech","soft,strict",21,0.084
Group 1 (Native AI),positive,real person,human,soft,17,0.068
Group 1 (Native AI),positive,voiceover,human,soft,13,0.052
Group 1 (Native AI),positive,low effort,quality,soft,11,0.044
Group 1 (Native AI),positive,gpt,tech,soft,9,0.036
Group 1 (Native AI),positive,handmade,human,soft,9,0.036
Group 1 (Native AI),positive,generated by ai,strict_core,strict,8,0.032
Group 1 (Native AI),positive,ethics,ethics,soft,7,0.028
Group 1 (Native AI),positive,unethical,ethics,soft,5,0.02
