scope,sentiment,keyword,category,source_filter,review_count,review_share_pct
AI-Label,positive,ai,"strict_core,tech","soft,strict",1772,5.602
AI-Label,positive,cheap,quality,soft,315,0.996
AI-Label,positive,human,human,soft,314,0.993
AI-Label,positive,trash,quality,soft,156,0.493
AI-Label,positive,creativity,human,soft,125,0.395
AI-Label,positive,ai generated,strict_core,strict,104,0.329
AI-Label,positive,slop,quality,soft,104,0.329
AI-Label,positive,passion,human,soft,94,0.297
AI-Label,positive,uncanny,quality,soft,85,0.269
AI-Label,positive,soul,human,soft,77,0.243
AI-Label,positive,generic,quality,soft,69,0.218
AI-Label,positive,artificial,quality,soft,65,0.205
AI-Label,positive,talent,human,soft,63,0.199
AI-Label,positive,ai-generated,strict_core,strict,60,0.19
AI-Label,positive,lazy,quality,soft,59,0.187
AI-Label,positive,steal,ethics,soft,59,0.187
AI-Label,positive,chatgpt,"strict_core,tech","soft,strict",58,0.183
AI-Label,positive,llm,"strict_core,tech","soft,strict",58,0.183
AI-Label,positive,garbage,quality,soft,57,0.18
AI-Label,positive,bland,quality,soft,56,0.177
AI-Label,positive,prompt,tech,soft,49,0.155
AI-Label,positive,ai slop,quality,soft,43,0.136
AI-Label,positive,artist,human,soft,42,0.133
AI-Label,positive,ethical,ethics,soft,39,0.123
AI-Label,positive,generative,"strict_core,tech","soft,strict",26,0.082
AI-Label,positive,stolen,ethics,soft,26,0.082
AI-Label,positive,voice actor,human,soft,26,0.082
AI-Label,positive,artificial intelligence,"strict_core,tech","soft,strict",21,0.066
AI-Label,positive,gpt,tech,soft,18,0.057
AI-Label,positive,real person,human,soft,17,0.054
AI-Label,positive,soulless,quality,soft,14,0.044
AI-Label,positive,voiceover,human,soft,13,0.041
AI-Label,positive,ethics,ethics,soft,12,0.038
AI-Label,positive,low effort,quality,soft,11,0.035
AI-Label,positive,handmade,human,soft,9,0.028
AI-Label,positive,generated by ai,strict_core,strict,8,0.025
AI-Label,positive,unethical,ethics,soft,7,0.022
AI-Label,positive,algorithm,tech,soft,5,0.016
