keyword,category,source_filter
ai,"strict_core,tech","soft,strict"
ai generated,strict_core,strict
ai slop,quality,soft
ai-generated,strict_core,strict
algorithm,tech,soft
artificial,quality,soft
artificial intelligence,"strict_core,tech","soft,strict"
artist,human,soft
bland,quality,soft
chatgpt,"strict_core,tech","soft,strict"
cheap,quality,soft
consent,ethics,soft
copyright,ethics,soft
creativity,human,soft
ethical,ethics,soft
ethics,ethics,soft
garbage,quality,soft
generated by ai,strict_core,strict
generative,"strict_core,tech","soft,strict"
generic,quality,soft
gpt,tech,soft
handmade,human,soft
human,human,soft
infringement,ethics,soft
lawsuit,ethics,soft
lazy,quality,soft
llm,"strict_core,tech","soft,strict"
low effort,quality,soft
machine learning,"strict_core,tech","soft,strict"
midjourney,"strict_core,tech","soft,strict"
passion,human,soft
plagiarism,ethics,soft
prompt,tech,soft
real person,human,soft
scrape,ethics,soft
scraping,ethics,soft
slop,quality,soft
soul,human,soft
soulless,quality,soft
stable diffusion,"strict_core,tech","soft,strict"
steal,ethics,soft
stolen,ethics,soft
suno,"strict_core,tech","soft,strict"
synthetic,quality,soft
talent,human,soft
theft,ethics,soft
training data,ethics,soft
trash,quality,soft
udio,"strict_core,tech","soft,strict"
uncanny,quality,soft
unethical,ethics,soft
voice actor,human,soft
voiceover,human,soft
weird fingers,quality,soft
