scope,sentiment,keyword,category,source_filter,review_count,review_share_pct
Group 2 (AI Added - Recent),negative,ai,"strict_core,tech","soft,strict",219,10.311
Group 2 (AI Added - Recent),negative,garbage,quality,soft,63,2.966
Group 2 (AI Added - Recent),negative,slop,quality,soft,56,2.637
Group 2 (AI Added - Recent),negative,trash,quality,soft,56,2.637
Group 2 (AI Added - Recent),negative,ai slop,quality,soft,27,1.271
Group 2 (AI Added - Recent),negative,ai generated,strict_core,strict,22,1.036
Group 2 (AI Added - Recent),negative,lazy,quality,soft,20,0.942
Group 2 (AI Added - Recent),negative,cheap,quality,soft,19,0.895
Group 2 (AI Added - Recent),negative,generative,"strict_core,tech","soft,strict",19,0.895
Group 2 (AI Added - Recent),negative,generic,quality,soft,14,0.659
Group 2 (AI Added - Recent),negative,human,human,soft,13,0.612
Group 2 (AI Added - Recent),negative,passion,human,soft,11,0.518
Group 2 (AI Added - Recent),negative,soul,human,soft,8,0.377
Group 2 (AI Added - Recent),negative,artist,human,soft,6,0.282
Group 2 (AI Added - Recent),negative,ai-generated,strict_core,strict,5,0.235
Group 2 (AI Added - Recent),negative,bland,quality,soft,5,0.235
Group 2 (AI Added - Recent),negative,llm,"strict_core,tech","soft,strict",5,0.235
Group 2 (AI Added - Recent),negative,steal,ethics,soft,5,0.235
