scope,sentiment,keyword,category,source_filter,review_count,review_share_pct
overall,positive,ai,"strict_core,tech","soft,strict",1888,4.724
overall,positive,cheap,quality,soft,364,0.911
overall,positive,human,human,soft,352,0.881
overall,positive,trash,quality,soft,176,0.44
overall,positive,creativity,human,soft,159,0.398
overall,positive,passion,human,soft,133,0.333
overall,positive,slop,quality,soft,131,0.328
overall,positive,ai generated,strict_core,strict,107,0.268
overall,positive,soul,human,soft,100,0.25
overall,positive,steal,ethics,soft,89,0.223
overall,positive,uncanny,quality,soft,88,0.22
overall,positive,generic,quality,soft,79,0.198
overall,positive,garbage,quality,soft,70,0.175
overall,positive,lazy,quality,soft,70,0.175
overall,positive,talent,human,soft,70,0.175
overall,positive,artificial,quality,soft,65,0.163
overall,positive,ai-generated,strict_core,strict,63,0.158
overall,positive,bland,quality,soft,62,0.155
overall,positive,prompt,tech,soft,60,0.15
overall,positive,artist,human,soft,59,0.148
overall,positive,chatgpt,"strict_core,tech","soft,strict",59,0.148
overall,positive,llm,"strict_core,tech","soft,strict",58,0.145
overall,positive,ai slop,quality,soft,43,0.108
overall,positive,ethical,ethics,soft,39,0.098
overall,positive,gpt,tech,soft,30,0.075
overall,positive,stolen,ethics,soft,29,0.073
overall,positive,voice actor,human,soft,29,0.073
overall,positive,generative,"strict_core,tech","soft,strict",27,0.068
overall,positive,artificial intelligence,"strict_core,tech","soft,strict",21,0.053
overall,positive,real person,human,soft,20,0.05
overall,positive,soulless,quality,soft,16,0.04
overall,positive,voiceover,human,soft,15,0.038
overall,positive,ethics,ethics,soft,12,0.03
overall,positive,low effort,quality,soft,11,0.028
overall,positive,handmade,human,soft,9,0.023
overall,positive,generated by ai,strict_core,strict,8,0.02
overall,positive,unethical,ethics,soft,7,0.018
overall,positive,algorithm,tech,soft,5,0.013
overall,positive,theft,ethics,soft,5,0.013
